filename,original_file,animal_name,animal_sex,call_type,duration_s
Whine_2_Feb_07_2022_54103148_ms_127242_128174.wav,2_February_07_2022_54103148.wav,Silicon,Male,Whine,0.932000000000002
Whine_2_Feb_07_2022_54103148_ms_128232_128925.wav,2_February_07_2022_54103148.wav,Silicon,Male,Whine,0.693000000000012
Whine_2_Feb_08_2022_52899021_ms_21798_23112.wav,2_February_08_2022_52899021.wav,Silicon,Male,Whine,1.314
Whine_2_Feb_08_2022_52899021_ms_23133_24129.wav,2_February_08_2022_52899021.wav,Silicon,Male,Whine,0.996000000000002
Whine_2_Feb_08_2022_56844571_ms_90317_91531.wav,2_February_08_2022_56844571.wav,Silicon,Male,Whine,1.21400000000001
Whine_2_Feb_08_2022_56844571_ms_91548_92721.wav,2_February_08_2022_56844571.wav,Silicon,Male,Whine,1.173
Whine_2_Feb_08_2022_57173363_ms_39644_41292.wav,2_February_08_2022_57173363.wav,Silicon,Male,Whine,1.648
Whine_2_Feb_09_2022_58674334_ms_41240_42000.wav,2_February_09_2022_58674334.wav,Silicon,Male,Whine,0.759999999999998
Whine_2_Feb_09_2022_58674334_ms_46518_46997.wav,2_February_09_2022_58674334.wav,Silicon,Male,Whine,0.478999999999999
Whine_2_Feb_09_2022_58674334_ms_60202_60937.wav,2_February_09_2022_58674334.wav,Silicon,Male,Whine,0.734999999999999
Whine_2_Feb_09_2022_58674334_ms_60958_61922.wav,2_February_09_2022_58674334.wav,Silicon,Male,Whine,0.963999999999999
Whine_2_Feb_09_2022_58838679_ms_38577_39285.wav,2_February_09_2022_58838679.wav,Silicon,Male,Whine,0.707999999999998
Whine_2_Feb_11_2022_58449258_ms_16776_17556.wav,2_February_11_2022_58449258.wav,Silicon,Male,Whine,0.780000000000001
Whine_2_Mar_15_2022_47845114_ms_35752_36946.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,1.194
Whine_2_Mar_15_2022_47845114_ms_59457_60431.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,0.973999999999997
Whine_2_Mar_15_2022_47845114_ms_64856_65873.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,1.01700000000001
Whine_2_Mar_15_2022_47845114_ms_68594_69375.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,0.781000000000006
Whine_2_Mar_15_2022_47845114_ms_74953_75909.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,0.956000000000003
Whine_2_Mar_15_2022_47845114_ms_79729_80270.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,0.540999999999997
Whine_2_Mar_15_2022_47845114_ms_88583_89449.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,0.866
Whine_2_Mar_15_2022_47845114_ms_89715_90845.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,1.13
Whine_2_Mar_15_2022_47845114_ms_90997_92000.wav,2_March_15_2022_47845114.wav,Silicon+Sodium,Male,Whine,1.003
Whine_2_Mar_15_2022_48009451_ms_106883_107383.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.5
Whine_2_Mar_15_2022_48009451_ms_126626_127367.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.741
Whine_2_Mar_15_2022_48009451_ms_128451_129419.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.968000000000018
Whine_2_Mar_15_2022_48009451_ms_131249_132135.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.885999999999996
Whine_2_Mar_15_2022_48009451_ms_133450_134970.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.52000000000001
Whine_2_Mar_15_2022_48009451_ms_135080_136066.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.98599999999999
Whine_2_Mar_15_2022_48009451_ms_137899_138927.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.02799999999999
Whine_2_Mar_15_2022_48009451_ms_141031_142231.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.19999999999999
Whine_2_Mar_15_2022_48009451_ms_146066_146916.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.849999999999994
Whine_2_Mar_15_2022_48009451_ms_14700_15627.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.927000000000001
Whine_2_Mar_15_2022_48009451_ms_147902_148670.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.768000000000001
Whine_2_Mar_15_2022_48009451_ms_148718_149684.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.966000000000008
Whine_2_Mar_15_2022_48009451_ms_15726_16800.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.074
Whine_2_Mar_15_2022_48009451_ms_68427_69408.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.980999999999995
Whine_2_Mar_15_2022_48009451_ms_69432_70052.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.620000000000005
Whine_2_Mar_15_2022_48009451_ms_80980_81643.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.662999999999997
Whine_2_Mar_15_2022_48009451_ms_88419_89341.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,0.921999999999997
Whine_2_Mar_15_2022_48009451_ms_91845_92975.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.13
Whine_2_Mar_15_2022_48009451_ms_96230_97646.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.416
Whine_2_Mar_15_2022_48009451_ms_97733_98736.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.003
Whine_2_Mar_15_2022_48009451_ms_98792_99945.wav,2_March_15_2022_48009451.wav,Silicon+Sodium,Male,Whine,1.15299999999999
Whine_2_Mar_15_2022_48338062_ms_146110_147183.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.07299999999998
Whine_2_Mar_15_2022_48338062_ms_147205_148450.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.24499999999998
Whine_2_Mar_15_2022_48338062_ms_148580_149162.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.581999999999994
Whine_2_Mar_15_2022_48338062_ms_149341_149869.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.527999999999992
Whine_2_Mar_15_2022_48338062_ms_149923_150693.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.77000000000001
Whine_2_Mar_15_2022_48338062_ms_151264_152292.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.02799999999999
Whine_2_Mar_15_2022_48338062_ms_152337_153588.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.251
Whine_2_Mar_15_2022_48338062_ms_153611_154728.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.11700000000002
Whine_2_Mar_15_2022_48338062_ms_154804_155781.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.977000000000004
Whine_2_Mar_15_2022_48338062_ms_155859_156895.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.036
Whine_2_Mar_15_2022_48338062_ms_156913_157643.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.72999999999999
Whine_2_Mar_15_2022_48338062_ms_157642_158843.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.20099999999999
Whine_2_Mar_15_2022_48338062_ms_158880_159846.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,0.966000000000008
Whine_2_Mar_15_2022_48338062_ms_159909_161124.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.215
Whine_2_Mar_15_2022_48338062_ms_46128_47406.wav,2_March_15_2022_48338062.wav,Silicon+Sodium,Male,Whine,1.278
