filename,original_file,animal_name,call_type,duration_s
Chut_2_Feb_07_2022_51861688_ms_101198_101787.wav,2_February_07_2022_51861688.wav,Sodium,Chut,0.589000000000013
Chut_2_Feb_07_2022_51861688_ms_72490_74300.wav,2_February_07_2022_51861688.wav,Sodium,Chut,1.81
Chut_2_Feb_07_2022_51861688_ms_75130_75790.wav,2_February_07_2022_51861688.wav,Sodium,Chut,0.660000000000011
Chut_2_Feb_07_2022_51861688_ms_86525_87380.wav,2_February_07_2022_51861688.wav,Sodium,Chut,0.85499999999999
Chut_2_Feb_07_2022_52026039_ms_160965_161817.wav,2_February_07_2022_52026039.wav,Sodium,Chut,0.852000000000004
Chut_2_Feb_07_2022_53609825_ms_63079_63949.wav,2_February_07_2022_53609825.wav,Silicon,Chut,0.869999999999997
Chut_2_Feb_07_2022_54103148_ms_149573_150675.wav,2_February_07_2022_54103148.wav,Silicon,Chut,1.102
Chut_2_Feb_07_2022_54267560_ms_140300_141772.wav,2_February_07_2022_54267560.wav,Silicon,Chut,1.47199999999998
Chut_2_Feb_07_2022_54267560_ms_144052_145112.wav,2_February_07_2022_54267560.wav,Silicon,Chut,1.06
Chut_2_Feb_07_2022_54267560_ms_148908_149360.wav,2_February_07_2022_54267560.wav,Silicon,Chut,0.452000000000027
Chut_2_Feb_07_2022_54267560_ms_26042_26610.wav,2_February_07_2022_54267560.wav,Silicon,Chut,0.567999999999998
Chut_2_Feb_07_2022_54267560_ms_96009_96985.wav,2_February_07_2022_54267560.wav,Silicon,Chut,0.975999999999999
Chut_2_Feb_07_2022_54432095_ms_128809_129807.wav,2_February_07_2022_54432095.wav,Silicon,Chut,0.99799999999999
Chut_2_Feb_07_2022_54432095_ms_16997_17580.wav,2_February_07_2022_54432095.wav,Silicon,Chut,0.582999999999998
Chut_2_Feb_07_2022_54432095_ms_23587_24924.wav,2_February_07_2022_54432095.wav,Silicon,Chut,1.337
Chut_2_Feb_07_2022_54432095_ms_56638_57324.wav,2_February_07_2022_54432095.wav,Silicon,Chut,0.686
Chut_2_Feb_07_2022_54432095_ms_63456_64577.wav,2_February_07_2022_54432095.wav,Silicon,Chut,1.121
Chut_2_Feb_07_2022_54432095_ms_65313_65975.wav,2_February_07_2022_54432095.wav,Silicon,Chut,0.661999999999992
Chut_2_Feb_07_2022_54432095_ms_66285_67150.wav,2_February_07_2022_54432095.wav,Silicon,Chut,0.865000000000009
Chut_2_Feb_07_2022_54432095_ms_69608_70944.wav,2_February_07_2022_54432095.wav,Silicon,Chut,1.336
Chut_2_Feb_07_2022_54760935_ms_102533_103879.wav,2_February_07_2022_54760935.wav,Sodium,Chut,1.346
Chut_2_Feb_08_2022_52899021_ms_139426_140286.wav,2_February_08_2022_52899021.wav,Silicon,Chut,0.860000000000014
Chut_2_Feb_08_2022_53063485_ms_46550_47665.wav,2_February_08_2022_53063485.wav,Silicon,Chut,1.115
Chut_2_Feb_08_2022_53227991_ms_145857_146655.wav,2_February_08_2022_53227991.wav,Silicon,Chut,0.798000000000002
